 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 25.94 sec)
0.009	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.011	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.011	                       -	                   -	Blocking app contact
0.034	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.034	                       -	                   -	Creating a new encryption key
0.176	                       -	                   -	server_show_windows_for_asns start
0.176	                       -	                   -	Allowing apps to contact us
0.178	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.178	                       -	                   -	Still waiting for registration from Finder
0.179	                       -	                   -	Finder was already launched
0.179	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.179	        com.apple.finder	           Launching	
0.183	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.183	                       -	                   -	loginwindow launched apps com.apple.finder
0.184	                       -	                   -	Bitmaps Ready (1 apps, 0 windows)
0.185	        com.apple.finder	                   -	Disposing because it has no windows
0.186	        com.apple.finder	            Disposed	
0.186	                       -	                   -	server_show_windows_for_asns end
0.186	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.186	                       -	                   -	Still waiting for registration from Finder
0.205	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.205	                       -	                   -	Still waiting for registration from Finder
0.390	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.390	                       -	                   -	Still waiting for registration from Finder
0.644	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.644	                       -	                   -	Still waiting for registration from Finder
1.717	        com.apple.finder	                   -	Finder checked in
1.717	                       -	                   -	All started apps have registered (no remaining unregistered apps)
1.718	                       -	                   -	TAL Relaunch - all apps registered as ready
2.186	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.013	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.009	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.009	                       -	                   -	Exiting out of boredom
